advice_action_match,advice_deal_distance,advice_kind_match,advice_overridden_toward,advice_rank_taken,advised_kind,advised_offer_id,emitted_kind,emitted_offer_id,episode_id,focal_seat,instance_id,parse_ok,phase,round,seat,seed,turn_idx
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-ff3f822dce,1,scorable_negotiation-L0-34733a57e6,True,turn,1,Blake,3,3
1.0,,1.0,,,accept,P5,accept,P5,scorable_negotiation-moves_chat-ff3f822dce,1,scorable_negotiation-L0-34733a57e6,True,turn,2,Blake,3,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-ff3f822dce,1,scorable_negotiation-L0-34733a57e6,True,turn,3,Blake,3,11
0.0,,0.0,,,propose,,accept,P8,scorable_negotiation-moves_chat-ff3f822dce,1,scorable_negotiation-L0-34733a57e6,True,turn,4,Blake,3,15
1.0,,1.0,,,accept,P4,accept,P4,scorable_negotiation-moves_chat-f3ae87258f,3,scorable_negotiation-L0-34733a57e6,True,turn,1,Devon,4,4
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-f3ae87258f,3,scorable_negotiation-L0-34733a57e6,True,turn,2,Devon,4,8
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-f3ae87258f,3,scorable_negotiation-L0-34733a57e6,True,turn,3,Devon,4,12
1.0,,1.0,,,accept,P10,accept,P10,scorable_negotiation-moves_chat-f3ae87258f,3,scorable_negotiation-L0-34733a57e6,True,turn,4,Devon,4,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-c295b69225,0,scorable_negotiation-L0-611ee402f7,True,turn,1,Avery,0,0
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-c295b69225,0,scorable_negotiation-L0-611ee402f7,True,turn,2,Avery,0,9
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-c295b69225,0,scorable_negotiation-L0-611ee402f7,True,turn,3,Avery,0,13
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0df0e22c87,2,scorable_negotiation-L0-611ee402f7,True,turn,1,Casey,1,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0df0e22c87,2,scorable_negotiation-L0-611ee402f7,True,turn,2,Casey,1,5
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0df0e22c87,2,scorable_negotiation-L0-611ee402f7,True,turn,3,Casey,1,14
0.0,,0.0,,,propose,,accept,P7,scorable_negotiation-moves_chat-0df0e22c87,2,scorable_negotiation-L0-611ee402f7,True,turn,4,Casey,1,18
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0daecad4e5,4,scorable_negotiation-L0-611ee402f7,True,turn,1,Ember,2,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0daecad4e5,4,scorable_negotiation-L0-611ee402f7,True,turn,2,Ember,2,6
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-0daecad4e5,4,scorable_negotiation-L0-611ee402f7,True,turn,3,Ember,2,10
1.0,,1.0,,,accept,P3,accept,P3,scorable_negotiation-moves_chat-7566cf681a,1,scorable_negotiation-L0-611ee402f7,True,turn,1,Blake,3,3
1.0,,1.0,,,accept,P5,accept,P5,scorable_negotiation-moves_chat-7566cf681a,1,scorable_negotiation-L0-611ee402f7,True,turn,2,Blake,3,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-7566cf681a,1,scorable_negotiation-L0-611ee402f7,True,turn,3,Blake,3,11
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-7566cf681a,1,scorable_negotiation-L0-611ee402f7,True,turn,4,Blake,3,15
1.0,,1.0,,,accept,P4,accept,P4,scorable_negotiation-moves_chat-dc2c76ee26,3,scorable_negotiation-L0-611ee402f7,True,turn,1,Devon,4,4
1.0,,1.0,,,accept,P5,accept,P5,scorable_negotiation-moves_chat-dc2c76ee26,3,scorable_negotiation-L0-611ee402f7,True,turn,2,Devon,4,8
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-dc2c76ee26,3,scorable_negotiation-L0-611ee402f7,True,turn,3,Devon,4,12
1.0,,1.0,,,accept,P6,accept,P6,scorable_negotiation-moves_chat-dc2c76ee26,3,scorable_negotiation-L0-611ee402f7,True,turn,4,Devon,4,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-78a5120c37,0,scorable_negotiation-L0-65113008ad,True,turn,1,Avery,0,0
0.0,3.0,1.0,30.0,,propose,,propose,,scorable_negotiation-moves_chat-78a5120c37,0,scorable_negotiation-L0-65113008ad,True,turn,2,Avery,0,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-78a5120c37,0,scorable_negotiation-L0-65113008ad,True,turn,3,Avery,0,13
0.0,,0.0,,,propose,,accept,P8,scorable_negotiation-moves_chat-78a5120c37,0,scorable_negotiation-L0-65113008ad,True,turn,4,Avery,0,17
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6b5a7bff4e,2,scorable_negotiation-L0-65113008ad,True,turn,1,Casey,1,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6b5a7bff4e,2,scorable_negotiation-L0-65113008ad,True,turn,2,Casey,1,5
0.0,,0.0,,,propose,,accept,P8,scorable_negotiation-moves_chat-6b5a7bff4e,2,scorable_negotiation-L0-65113008ad,True,turn,3,Casey,1,14
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-092ac23cff,4,scorable_negotiation-L0-65113008ad,True,turn,1,Ember,2,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-092ac23cff,4,scorable_negotiation-L0-65113008ad,True,turn,2,Ember,2,6
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-092ac23cff,4,scorable_negotiation-L0-65113008ad,True,turn,3,Ember,2,10
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-67268f2d22,1,scorable_negotiation-L0-65113008ad,True,turn,1,Blake,3,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-67268f2d22,1,scorable_negotiation-L0-65113008ad,True,turn,2,Blake,3,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-67268f2d22,1,scorable_negotiation-L0-65113008ad,True,turn,3,Blake,3,11
0.0,,0.0,,,propose,,accept,P7,scorable_negotiation-moves_chat-67268f2d22,1,scorable_negotiation-L0-65113008ad,True,turn,4,Blake,3,15
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-23fbdd6dc2,3,scorable_negotiation-L0-65113008ad,True,turn,1,Devon,4,4
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-23fbdd6dc2,3,scorable_negotiation-L0-65113008ad,True,turn,2,Devon,4,8
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-23fbdd6dc2,3,scorable_negotiation-L0-65113008ad,True,turn,3,Devon,4,12
1.0,,1.0,,,accept,P11,accept,P11,scorable_negotiation-moves_chat-23fbdd6dc2,3,scorable_negotiation-L0-65113008ad,True,turn,4,Devon,4,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1bb6c06474,0,scorable_negotiation-L0-a483b0d80d,True,turn,1,Avery,0,0
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1bb6c06474,0,scorable_negotiation-L0-a483b0d80d,True,turn,2,Avery,0,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1bb6c06474,0,scorable_negotiation-L0-a483b0d80d,True,turn,3,Avery,0,13
0.0,,0.0,,,propose,,accept,P5,scorable_negotiation-moves_chat-1bb6c06474,0,scorable_negotiation-L0-a483b0d80d,True,turn,4,Avery,0,17
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-3dab6bc292,2,scorable_negotiation-L0-a483b0d80d,True,turn,1,Casey,1,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-3dab6bc292,2,scorable_negotiation-L0-a483b0d80d,True,turn,2,Casey,1,5
1.0,,1.0,,,accept,P9,accept,P9,scorable_negotiation-moves_chat-3dab6bc292,2,scorable_negotiation-L0-a483b0d80d,True,turn,3,Casey,1,14
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-117e21ccea,4,scorable_negotiation-L0-a483b0d80d,True,turn,1,Ember,2,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-117e21ccea,4,scorable_negotiation-L0-a483b0d80d,True,turn,2,Ember,2,6
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-117e21ccea,4,scorable_negotiation-L0-a483b0d80d,True,turn,3,Ember,2,10
0.0,,0.0,,,propose,,accept,P6,scorable_negotiation-moves_chat-117e21ccea,4,scorable_negotiation-L0-a483b0d80d,True,turn,4,Ember,2,19
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-e173ee6053,1,scorable_negotiation-L0-a483b0d80d,True,turn,1,Blake,3,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-e173ee6053,1,scorable_negotiation-L0-a483b0d80d,True,turn,2,Blake,3,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-e173ee6053,1,scorable_negotiation-L0-a483b0d80d,True,turn,3,Blake,3,11
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-e173ee6053,1,scorable_negotiation-L0-a483b0d80d,True,turn,4,Blake,3,15
1.0,,1.0,,,accept,P2,accept,P2,scorable_negotiation-moves_chat-aeeea97067,3,scorable_negotiation-L0-a483b0d80d,True,turn,1,Devon,4,4
1.0,,1.0,,,accept,P4,accept,P4,scorable_negotiation-moves_chat-aeeea97067,3,scorable_negotiation-L0-a483b0d80d,True,turn,2,Devon,4,8
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-aeeea97067,3,scorable_negotiation-L0-a483b0d80d,True,turn,3,Devon,4,12
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-aeeea97067,3,scorable_negotiation-L0-a483b0d80d,True,turn,4,Devon,4,16
1.0,,1.0,,,accept,P1,accept,P1,scorable_negotiation-moves_chat-001fc00fd9,1,scorable_negotiation-L1-19dae4b672,True,turn,1,Blake,0,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-001fc00fd9,1,scorable_negotiation-L1-19dae4b672,True,turn,2,Blake,0,5
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-001fc00fd9,1,scorable_negotiation-L1-19dae4b672,True,turn,3,Blake,0,14
0.0,,0.0,,,propose,,accept,P4,scorable_negotiation-moves_chat-001fc00fd9,1,scorable_negotiation-L1-19dae4b672,True,turn,4,Blake,0,18
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-7876ab37a1,3,scorable_negotiation-L1-19dae4b672,True,turn,1,Devon,1,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-7876ab37a1,3,scorable_negotiation-L1-19dae4b672,True,turn,2,Devon,1,6
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-7876ab37a1,3,scorable_negotiation-L1-19dae4b672,True,turn,3,Devon,1,10
0.0,,1.0,,,accept,P10,accept,P9,scorable_negotiation-moves_chat-7876ab37a1,3,scorable_negotiation-L1-19dae4b672,True,turn,4,Devon,1,19
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1715ff47d7,0,scorable_negotiation-L1-19dae4b672,True,turn,1,Avery,2,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1715ff47d7,0,scorable_negotiation-L1-19dae4b672,True,turn,2,Avery,2,7
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-1715ff47d7,0,scorable_negotiation-L1-19dae4b672,True,turn,3,Avery,2,11
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1715ff47d7,0,scorable_negotiation-L1-19dae4b672,True,turn,4,Avery,2,15
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-df2827d75d,2,scorable_negotiation-L1-19dae4b672,True,turn,1,Casey,3,4
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-df2827d75d,2,scorable_negotiation-L1-19dae4b672,True,turn,2,Casey,3,8
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-df2827d75d,2,scorable_negotiation-L1-19dae4b672,True,turn,3,Casey,3,12
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-df2827d75d,2,scorable_negotiation-L1-19dae4b672,True,turn,4,Casey,3,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cb77cc4f2c,4,scorable_negotiation-L1-19dae4b672,True,turn,1,Ember,4,0
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cb77cc4f2c,4,scorable_negotiation-L1-19dae4b672,True,turn,2,Ember,4,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cb77cc4f2c,4,scorable_negotiation-L1-19dae4b672,True,turn,3,Ember,4,13
0.0,,1.0,,,accept,P7,accept,P3,scorable_negotiation-moves_chat-cb77cc4f2c,4,scorable_negotiation-L1-19dae4b672,True,turn,4,Ember,4,17
1.0,,1.0,,,accept,P1,accept,P1,scorable_negotiation-moves_chat-29ac466c63,1,scorable_negotiation-L1-282034699c,True,turn,1,Blake,0,1
1.0,,1.0,,,accept,P4,accept,P4,scorable_negotiation-moves_chat-29ac466c63,1,scorable_negotiation-L1-282034699c,True,turn,2,Blake,0,5
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-29ac466c63,1,scorable_negotiation-L1-282034699c,True,turn,3,Blake,0,14
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-29ac466c63,1,scorable_negotiation-L1-282034699c,True,turn,4,Blake,0,18
1.0,,1.0,,,accept,P2,accept,P2,scorable_negotiation-moves_chat-6a238e8f4f,3,scorable_negotiation-L1-282034699c,True,turn,1,Devon,1,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6a238e8f4f,3,scorable_negotiation-L1-282034699c,True,turn,2,Devon,1,6
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-6a238e8f4f,3,scorable_negotiation-L1-282034699c,True,turn,3,Devon,1,10
0.0,,0.0,,,propose,,accept,P9,scorable_negotiation-moves_chat-6a238e8f4f,3,scorable_negotiation-L1-282034699c,True,turn,4,Devon,1,19
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e6283813e,0,scorable_negotiation-L1-282034699c,True,turn,1,Avery,2,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e6283813e,0,scorable_negotiation-L1-282034699c,True,turn,2,Avery,2,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e6283813e,0,scorable_negotiation-L1-282034699c,True,turn,3,Avery,2,11
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-0e6283813e,0,scorable_negotiation-L1-282034699c,True,turn,4,Avery,2,15
1.0,,1.0,,,accept,P12,accept,P12,scorable_negotiation-moves_chat-0e6283813e,0,scorable_negotiation-L1-282034699c,True,final_vote,5,Avery,2,24
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-d6c31e115a,2,scorable_negotiation-L1-282034699c,True,turn,1,Casey,3,4
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-d6c31e115a,2,scorable_negotiation-L1-282034699c,True,turn,2,Casey,3,8
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-d6c31e115a,2,scorable_negotiation-L1-282034699c,True,turn,3,Casey,3,12
0.0,,1.0,,,accept,P7,accept,P2,scorable_negotiation-moves_chat-d6c31e115a,2,scorable_negotiation-L1-282034699c,True,turn,4,Casey,3,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-b885410d89,4,scorable_negotiation-L1-282034699c,True,turn,1,Ember,4,0
0.0,2.0,1.0,30.0,,propose,,propose,,scorable_negotiation-moves_chat-b885410d89,4,scorable_negotiation-L1-282034699c,True,turn,2,Ember,4,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-b885410d89,4,scorable_negotiation-L1-282034699c,True,turn,3,Ember,4,13
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-57b8fe5a9e,1,scorable_negotiation-L1-996daa4124,True,turn,1,Blake,0,1
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-57b8fe5a9e,1,scorable_negotiation-L1-996daa4124,True,turn,2,Blake,0,5
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-57b8fe5a9e,1,scorable_negotiation-L1-996daa4124,True,turn,3,Blake,0,14
0.0,,0.0,,,propose,,accept,P4,scorable_negotiation-moves_chat-57b8fe5a9e,1,scorable_negotiation-L1-996daa4124,True,turn,4,Blake,0,18
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1613b0a69c,3,scorable_negotiation-L1-996daa4124,True,turn,1,Devon,1,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-1613b0a69c,3,scorable_negotiation-L1-996daa4124,True,turn,2,Devon,1,6
1.0,,1.0,,,accept,P9,accept,P9,scorable_negotiation-moves_chat-1613b0a69c,3,scorable_negotiation-L1-996daa4124,True,turn,3,Devon,1,10
0.0,,1.0,,,accept,P9,accept,P8,scorable_negotiation-moves_chat-1613b0a69c,3,scorable_negotiation-L1-996daa4124,True,turn,4,Devon,1,19
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-2ffb88094d,0,scorable_negotiation-L1-996daa4124,True,turn,1,Avery,2,3
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-2ffb88094d,0,scorable_negotiation-L1-996daa4124,True,turn,2,Avery,2,7
1.0,,1.0,,,accept,P9,accept,P9,scorable_negotiation-moves_chat-2ffb88094d,0,scorable_negotiation-L1-996daa4124,True,turn,3,Avery,2,11
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-2ffb88094d,0,scorable_negotiation-L1-996daa4124,True,turn,4,Avery,2,15
1.0,,1.0,,,accept,P4,accept,P4,scorable_negotiation-moves_chat-2d0964eefd,2,scorable_negotiation-L1-996daa4124,True,turn,1,Casey,3,4
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-2d0964eefd,2,scorable_negotiation-L1-996daa4124,True,turn,2,Casey,3,8
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-2d0964eefd,2,scorable_negotiation-L1-996daa4124,True,turn,3,Casey,3,12
0.0,,0.0,,,propose,,accept,P7,scorable_negotiation-moves_chat-2d0964eefd,2,scorable_negotiation-L1-996daa4124,True,turn,4,Casey,3,16
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-ba147d3369,4,scorable_negotiation-L1-996daa4124,True,turn,1,Ember,4,0
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-ba147d3369,4,scorable_negotiation-L1-996daa4124,True,turn,2,Ember,4,9
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-ba147d3369,4,scorable_negotiation-L1-996daa4124,True,turn,3,Ember,4,13
0.0,,0.0,,,propose,,accept,P5,scorable_negotiation-moves_chat-ba147d3369,4,scorable_negotiation-L1-996daa4124,True,turn,4,Ember,4,17
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-388a7b9506,1,scorable_negotiation-L1-a9097927ce,True,turn,1,Blake,0,1
1.0,,1.0,,,accept,P3,accept,P3,scorable_negotiation-moves_chat-388a7b9506,1,scorable_negotiation-L1-a9097927ce,True,turn,2,Blake,0,5
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-388a7b9506,1,scorable_negotiation-L1-a9097927ce,True,turn,3,Blake,0,14
1.0,,1.0,,,accept,P7,accept,P7,scorable_negotiation-moves_chat-388a7b9506,1,scorable_negotiation-L1-a9097927ce,True,turn,4,Blake,0,18
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cc3fe68072,3,scorable_negotiation-L1-a9097927ce,True,turn,1,Devon,1,2
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cc3fe68072,3,scorable_negotiation-L1-a9097927ce,True,turn,2,Devon,1,6
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-cc3fe68072,3,scorable_negotiation-L1-a9097927ce,True,turn,3,Devon,1,10
0.0,,0.0,,,propose,,accept,P4,scorable_negotiation-moves_chat-cc3fe68072,3,scorable_negotiation-L1-a9097927ce,True,turn,4,Devon,1,19
1.0,,1.0,,,accept,P3,accept,P3,scorable_negotiation-moves_chat-a0c9e0572d,0,scorable_negotiation-L1-a9097927ce,True,turn,1,Avery,2,3
1.0,,1.0,,,accept,P5,accept,P5,scorable_negotiation-moves_chat-a0c9e0572d,0,scorable_negotiation-L1-a9097927ce,True,turn,2,Avery,2,7
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-a0c9e0572d,0,scorable_negotiation-L1-a9097927ce,True,turn,3,Avery,2,11
1.0,,1.0,,,accept,P8,accept,P8,scorable_negotiation-moves_chat-a0c9e0572d,0,scorable_negotiation-L1-a9097927ce,True,turn,4,Avery,2,15
1.0,0.0,1.0,,0,propose,,propose,,scorable_negotiation-moves_chat-dccb5fadc2,2,scorable_negotiation-L1-a9097927ce,True,turn,1,Casey,3,4
